,radius,phi,theta,thickness,length
0,174.0,9.0,14.0,5.466048779796324,91.00675828904176
1,187.0,52.0,4.0,11.445438650208951,87.06225235592028
2,217.0,14.0,-19.0,3.2336768397588465,14.053750302833574
3,126.0,41.0,-39.0,14.202617562540114,53.928282028227166
4,112.0,11.0,-28.0,10.041247004798631,16.123628612730357
5,142.0,58.0,3.0,12.04579851386139,36.83283410102586
6,178.0,65.0,-10.0,3.5699546070899184,79.41706461162711
7,135.0,60.0,34.0,1.6101103316239482,70.25223863237927
8,244.0,72.0,-18.0,10.57029104020868,3.9642143911680083
9,228.0,35.0,-31.0,9.01496064451519,52.69071282803311
10,163.0,49.0,4.0,3.941026460532369,47.26257523437119
11,153.0,76.0,41.0,13.236710556616925,45.37329653236142
12,236.0,40.0,34.0,9.817872325004071,94.42953060297772
13,127.0,79.0,-23.0,5.182248379311316,12.93259665787801
14,151.0,55.0,-15.0,6.598566109229306,20.50184602624682
15,122.0,12.0,10.0,13.307656730519737,5.086991989829321
16,121.0,8.0,9.0,6.883157027812452,28.36096678319701
17,206.0,41.0,-21.0,4.884978306419082,7.829271514423518
18,106.0,57.0,-11.0,2.4003893193097467,22.645013126115384
19,235.0,43.0,-16.0,11.478594060641848,87.62498264680895
20,229.0,58.0,45.0,3.6681464485708015,21.902946540478688
21,254.0,56.0,17.0,5.5262816181020336,14.873112217973087
22,113.0,33.0,20.0,3.9881315044683063,11.629408878020131
23,184.0,71.0,16.0,10.206297446841093,41.3203712669352
24,235.0,23.0,25.0,9.99397604259744,40.201139774130084
25,131.0,70.0,-24.0,14.425980502577604,29.409999480605794
26,186.0,20.0,11.0,4.141262988631089,27.900989046072905
27,241.0,88.0,-11.0,6.184668650845441,46.36047086972309
28,255.0,17.0,33.0,3.2903190345575166,61.49748582327324
29,140.0,62.0,-41.0,2.4749064495986035,110.33630121646071
30,119.0,61.0,24.0,1.3131752158562744,11.298884276119512
31,219.0,63.0,-38.0,6.760499577812023,35.55417055126091
32,224.0,77.0,-27.0,3.4845920849713283,94.95316911248362
33,251.0,32.0,13.0,12.269981408496117,78.9779498894102
34,179.0,77.0,24.0,12.197213291813965,118.39280007618042
35,145.0,36.0,-45.0,4.77855373442889,25.381139074525418
36,101.0,38.0,24.0,12.12105291734467,104.27120241666405
37,110.0,26.0,-10.0,6.005070536789731,92.86850419305557
38,171.0,29.0,-43.0,2.8502834079270665,70.74093332612395
39,113.0,77.0,22.0,1.8600740807984792,93.88648456748011
40,205.0,56.0,-27.0,9.316152341845179,113.32920466943553
41,222.0,4.0,-39.0,6.090755845565305,72.85852666138777
